date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
4/2/2019,b,4,0.1,-26,1,-26,1,-26,233,2019-04-02b,0.1
4/2/2019,b,5,0.1,-30,1,-23,0,-30,234,2019-04-02b,0.1
4/2/2019,b,7,0.1,-32,1,-24.3,0,-32,235,2019-04-02b,0.1
4/2/2019,b,8,0.1,-36,1,-22.3,0,-32,236,2019-04-02b,0.1
4/2/2019,b,9,0.1,-22,1,NA,1,-22,237,2019-04-02b,0.1
4/2/2019,b,10,0.1,-24,1,-22.2,0,-24,238,2019-04-02b,0.1
4/2/2019,b,11,0.1,-36,1,-23.3,0,-32,239,2019-04-02b,0.1
4/2/2019,b,13,0.1,-34,1,-24.5,0,-32,240,2019-04-02b,0.1
4/2/2019,b,15,0.1,-28,1,-23.8,0,-28,241,2019-04-02b,0.1
4/2/2019,b,control,0.1,NA,1,NA,0,NA,242,2019-04-02b,0.1
4/2/2019,b,control,0.1,NA,1,NA,1,NA,243,2019-04-02b,0.1
4/2/2019,b,control,0.1,NA,1,NA,0,NA,244,2019-04-02b,0.1
2/20/2019,c,3,0.5,-2,1,NA,0,-2,245,2019-02-20c,0.5
2/20/2019,c,4,0.5,-8,1,NA,0,-8,246,2019-02-20c,0.5
2/20/2019,c,5,0.5,-16,1,NA,1,-16,247,2019-02-20c,0.5
2/20/2019,c,7,0.5,-6,1,NA,0,-6,248,2019-02-20c,0.5
2/20/2019,c,8,0.5,-10,1,NA,1,-10,249,2019-02-20c,0.5
2/20/2019,c,9,0.5,-18,1,NA,1,-18,250,2019-02-20c,0.5
2/20/2019,c,10,0.5,0,1,NA,1,0,251,2019-02-20c,0.5
2/20/2019,c,11,0.5,-12,1,NA,1,-12,252,2019-02-20c,0.5
2/20/2019,c,13,0.5,-4,1,NA,0,-4,253,2019-02-20c,0.5
2/20/2019,c,14,0.5,-20,1,NA,1,-20,254,2019-02-20c,0.5
2/20/2019,c,15,0.5,-14,1,NA,0,-14,255,2019-02-20c,0.5
2/20/2019,c,control,0.5,NA,1,NA,0,NA,256,2019-02-20c,0.5
2/20/2019,c,control,0.5,NA,1,NA,1,NA,257,2019-02-20c,0.5
2/21/2019,a,3,0.1,-6,0,NA,0,-6,258,2019-02-21a,0.1
2/21/2019,a,4,0.1,-16,1,NA,0,-16,259,2019-02-21a,0.1
2/21/2019,a,5,0.1,-4,1,NA,1,-4,260,2019-02-21a,0.1
2/21/2019,a,7,0.1,-10,1,NA,1,-10,261,2019-02-21a,0.1
2/21/2019,a,8,0.1,-12,1,NA,0,-12,262,2019-02-21a,0.1
2/21/2019,a,9,0.1,-20,1,-8.5,0,-20,263,2019-02-21a,0.1
