date_SC,trial,channel,degree_min,temp_pulled,batch_parasitoid,date_check_3day,discolor_3day,movement_3day,cocoon,stage_l_p_w_3day,date_adult,date_fungus,date_check_7day,discolor_7day,movement_7day,stage_l_p_w_7day,note,est_scp,eclose
15.3.19,1c,3,0.5,-12,B,20.3.19,N,Y,N,L,.,.,27.3.19,Y,N,,.,.,N
15.3.19,1c,4,0.5,-10,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,W,.,.,N
15.3.19,1c,5,0.5,-8,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,1c,7,0.5,-4,B,20.3.19,N,Y,N,L,.,.,27.3.19,Y,N,,.,.,N
15.3.19,1c,8,0.5,-20,B,20.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,1c,9,0.5,-14,B,20.3.19,N,Y,N,L,.,5.4.19,5.4.19,Y,N,L,.,.,N
15.3.19,1c,10,0.5,-18,B,20.3.19,N,Y,N,L,.,5.4.19,5.4.19,Y,N,L,.,.,N
15.3.19,1c,11,0.5,-6,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,1c,13,0.5,-2,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,1c,14,0.5,-16,B,20.3.19,N,N,N,L,.,20.3.19,.,.,.,.,.,.,N
15.3.19,1c,15,0.5,0,B,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
15.3.19,1c,c1,0.5,.,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,1c,c2,0.5,.,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,2c,3,0.5,-12,B,20.3.19,N,N,N,L,.,20.3.19,.,.,.,.,.,.,N
15.3.19,2c,4,0.5,-6,B,20.3.19,N,N,N,L,.,27.3.19,.,.,.,.,.,.,N
15.3.19,2c,5,0.5,-4,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,2c,7,0.5,-14,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,2c,8,0.5,-18,B,20.3.19,N,Y,N,L,.,5.4.19,.,.,.,.,.,.,N
15.3.19,2c,9,0.5,-20,B,20.3.19,N,Y,N,L,.,.,5.4.19,Y,N,L,.,.,N
15.3.19,2c,10,0.5,-2,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,2c,11,0.5,-16,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,2c,13,0.5,-8,B,20.3.19,N,Y,N,L,.,5.4.19,27.3.19,Y,N,,.,.,N
15.3.19,2c,14,0.5,0,B,20.3.19,N,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,2c,15,0.5,-10,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,2c,c1,0.5,.,B,20.3.19,N,N,N,P,12.4.19,.,5.4.19,N,N,W,ADULT DRY,.,Y
15.3.19,2c,c2,0.5,.,B,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
15.3.19,e,3,1,-20,B,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
15.3.19,e,4,1,-4,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,W,.,.,N
15.3.19,e,5,1,-2,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,W,.,.,N
15.3.19,e,7,1,-12,B,20.3.19,N,N,YR,W,.,.,5.4.19,N,N,W,.,.,N
15.3.19,e,8,1,-6,B,20.3.19,N,N,N,P,.,.,5.4.19,N,N,W,.,.,N
15.3.19,e,9,1,-14,B,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,.,N
15.3.19,e,10,1,-8,B,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
15.3.19,e,11,1,-18,B,20.3.19,N,N,N,W,12.4.19,.,5.4.19,N,N,W,ADULT DRY,.,Y
15.3.19,e,13,1,-10,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
15.3.19,e,14,1,-16,B,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
15.3.19,e,15,1,0,B,20.3.19,N,N,N,P,5.4.19,.,.,.,.,.,.,.,Y
15.3.19,e,c1,1,.,B,20.3.19,N,N,N,P,.,.,5.4.19,DRY,N,P,.,.,N
15.3.19,e,c2,1,.,B,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
17.6.19,a,3,0.1,-2,.,20.6.19,N,.,.,L,.,.,.,.,.,.,bad batch?,.,N
17.6.19,a,4,0.1,-8,.,20.6.19,N,.,.,L,.,.,.,.,.,.,bad batch?,.,N
17.6.19,a,5,0.1,-20,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
17.6.19,a,7,0.1,-10,.,20.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,8,0.1,-6,.,20.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,9,0.1,0,.,20.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,Y
17.6.19,a,10,0.1,-16,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,11,0.1,-18,,20.6.19,.,,.,,.,.,.,.,.,.,.,.,N
17.6.19,a,13,0.1,-14,.,20.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,14,0.1,-4,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,15,0.1,-12,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,c1,0.1,.,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
17.6.19,a,c2,0.1,.,.,20.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
18.2.19,d,3,0.5,-30,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,4,0.5,-24,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,5,0.5,-28,25,21.2.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
18.2.19,d,7,0.5,-32,25,21.2.19,Y,N,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,8,0.5,-36,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,"Exotherm is unusually high, might have been something else freezing.",-8.4,N
18.2.19,d,9,0.5,-36,25,21.2.19,Y,N,N,L,.,.,.,.,.,.,MAY HAVE BEEN DISCOLORED BEFORE,.,N
18.2.19,d,10,0.5,-20,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,11,0.5,-36,25,21.2.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
18.2.19,d,13,0.5,-26,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,14,0.5,-22,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,Y
18.2.19,d,15,0.5,-34,25,21.2.19,N,COCC,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,c1,0.5,.,25,21.2.19,N,Y,Y,L,.,.,.,.,.,.,.,.,N
18.2.19,d,c2,0.5,.,25,21.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
19.6.19,a,3,0.1,-4,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,4,0.1,-12,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,5,0.1,-14,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
19.6.19,a,7,0.1,-8,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,8,0.1,-2,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,9,0.1,-20,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,10,0.1,-16,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
19.6.19,a,11,0.1,-6,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,13,0.1,0,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,14,0.1,-10,.,24.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,15,0.1,-18,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,c1,0.1,.,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
19.6.19,a,c2,0.1,.,.,24.6.19,N,.,.,L,.,.,.,.,.,.,.,.,Y
2.4.19,b,3,0.1,-36,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,L,.,-24.6,N
2.4.19,b,4,0.1,-26,B,5.4.19,N,Y,N,L,.,.,8.4.19,N,Y,L,.,-26,Y
2.4.19,b,5,0.1,-30,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,L,.,-23,N
2.4.19,b,7,0.1,-32,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,L,.,-24.3,N
2.4.19,b,8,0.1,-36,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,L,.,-22.3,N
2.4.19,b,9,0.1,-22,B,5.4.19,N,Y,N,L,.,.,8.4.19,N,Y,L,.,.,Y
2.4.19,b,10,0.1,-24,B,5.4.19,N,N,Y,L,.,.,8.4.19,N,N,W,.,-22.2,N
2.4.19,b,11,0.1,-36,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,L,.,-23.3,N
2.4.19,b,13,0.1,-34,B,5.4.19,N,N,Y,L,.,.,8.4.19,N,N,L,.,-24.5,N
2.4.19,b,15,0.1,-28,B,5.4.19,N,N,N,L,.,.,8.4.19,N,N,P,.,-23.8,N
2.4.19,b,c1,0.1,.,B,5.4.19,N,Y,N,L,.,.,8.4.19,N,Y,L,.,.,N
2.4.19,b,c2,0.1,.,B,5.4.19,N,Y,N,L,.,.,8.4.19,N,N,W,.,.,Y
2.4.19,b,c3,0.1,.,B,5.4.19,N,Y,N,L,.,.,8.4.19,N,Y,L,.,.,N
20.2.19,c,3,0.5,-2,26,25.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
20.2.19,c,4,0.5,-8,26,25.2.19,N,Y,N,L,.,.,.,.,.,.,.,.,N
20.2.19,c,5,0.5,-16,26,25.2.19,N,N,Y,L,.,.,.,.,.,.,.,.,Y
